"TaxonID","NEPS_100","NEPS_101","NEPS_102","NEPS_103","NEPS_104","NEPS_106","NEPS_107","NEPS_109","NEPS_10","NEPS_110","NEPS_111","NEPS_113","NEPS_114","NEPS_115","NEPS_116","NEPS_117","NEPS_118","NEPS_119","NEPS_11","NEPS_121","NEPS_125","NEPS_127","NEPS_128","NEPS_129","NEPS_12","NEPS_133","NEPS_135","NEPS_139","NEPS_13","NEPS_142","NEPS_143","NEPS_147","NEPS_14","NEPS_152","NEPS_154","NEPS_155","NEPS_157","NEPS_158","NEPS_159","NEPS_163","NEPS_165","NEPS_166","NEPS_169","NEPS_170","NEPS_171","NEPS_172","NEPS_174","NEPS_175","NEPS_177","NEPS_17","NEPS_180","NEPS_181","NEPS_182","NEPS_185","NEPS_186","NEPS_187","NEPS_188","NEPS_189","NEPS_18","NEPS_190","NEPS_191","NEPS_192","NEPS_193","NEPS_19","NEPS_1","NEPS_20","NEPS_21","NEPS_22","NEPS_23","NEPS_24","NEPS_254","NEPS_256","NEPS_25","NEPS_260","NEPS_262","NEPS_264","NEPS_266","NEPS_26","NEPS_270","NEPS_272","NEPS_274","NEPS_276","NEPS_278","NEPS_27","NEPS_280","NEPS_28","NEPS_29","NEPS_2","NEPS_30","NEPS_31","NEPS_32","NEPS_33","NEPS_34","NEPS_35","NEPS_36","NEPS_38","NEPS_39","NEPS_3","NEPS_40","NEPS_41","NEPS_42","NEPS_4","NEPS_52","NEPS_53","NEPS_54","NEPS_55","NEPS_56","NEPS_57","NEPS_58","NEPS_59","NEPS_5","NEPS_60","NEPS_61","NEPS_62","NEPS_63","NEPS_65","NEPS_66","NEPS_67","NEPS_68","NEPS_69","NEPS_6","NEPS_70","NEPS_71","NEPS_72","NEPS_73","NEPS_75","NEPS_77","NEPS_78","NEPS_79","NEPS_7","NEPS_80","NEPS_81","NEPS_82","NEPS_83","NEPS_84","NEPS_85","NEPS_86","NEPS_87","NEPS_88","NEPS_89","NEPS_8","NEPS_90","NEPS_92","NEPS_93","NEPS_94","NEPS_95","NEPS_96","NEPS_97","NEPS_98","NEPS_99","NEPS_9","NEPS_105","NEPS_108","NEPS_112","NEPS_120","NEPS_122","NEPS_124","NEPS_126","NEPS_130","NEPS_132","NEPS_134","NEPS_136","NEPS_137","NEPS_140","NEPS_141","NEPS_144","NEPS_145","NEPS_148","NEPS_149","NEPS_150","NEPS_151","NEPS_153","NEPS_156","NEPS_15","NEPS_160","NEPS_161","NEPS_162","NEPS_164","NEPS_167","NEPS_168","NEPS_16","NEPS_173","NEPS_176","NEPS_178","NEPS_183","NEPS_184","NEPS_258","NEPS_327","NEPS_328","NEPS_330","NEPS_331","NEPS_332","NEPS_333","NEPS_335","NEPS_336","NEPS_337","NEPS_338","NEPS_339","NEPS_341","NEPS_342","NEPS_343","NEPS_344","NEPS_345","NEPS_346","NEPS_347","NEPS_348","NEPS_349","NEPS_350","NEPS_351","NEPS_352","NEPS_353","NEPS_355","NEPS_356","NEPS_358","NEPS_361","NEPS_363","NEPS_368","NEPS_369","NEPS_370","NEPS_371","NEPS_374","NEPS_376","NEPS_37","NEPS_381","NEPS_64","NEPS_74","NEPS_76"
"OTU13",251,10915,10593,35474,39840,5881,8987,934,3359,48106,1251,16244,3031,3541,21,526,1142,17484,3201,17,16041,8,308,2158,27676,30989,9526,5713,1373,1485,53859,2388,30703,82084,14265,5932,1029,8135,1214,9587,1246,2874,1243,3630,419,1016,1314,390,1059,4868,23,790,676,0,1729,1253,7256,5692,508,315,3011,384,637,2808,8860,7872,172386,4990,10999,3283,1018,1783,1492,5198,1309,727,905,1086,10088,486,0,3132,1390,2230,2578,40254,8770,52579,1544,924,16725,11464,12725,5692,1453,312,949,8180,1211,10468,6384,37,401,152,504,432,338,5948,1018,1929,5249,2214,940,2806,3590,5021,5384,612,1707,77,7887,1642,996,974,1575,2461,3,647,368,992,920,3678,4635,3483,664,2134,2924,75,147,2007,4062,354,3092,12176,4150,2275,16403,4945,2849,24697,2001,6534,540,42415,308,254,1866,795,3671,5031,4739,2200,12983,76156,17486,6391,10615,5663,1019,21906,15677,6746,8675,41116,3328,16613,12953,2364,986,57,1151,10426,852,1290,189,2069,172,302,3212,1,1714,795,1149,262,157,598,925,1383,735,862,104,2,102,311,410,1098,251,588,3,1110,242,1659,395,921,2013,361,1,1,1305,847,1,0,2613,0,2454,664,1
"OTU1",30454,4471,14767,5517,77482,2268,24814,10785,2593,395100,169826,23947,345352,98114,19220,37055,16059,238589,4504,82747,212,1653,402,134,27222,1345,497,267,2912,1115,5514,673,11269,7745,1229,303,805,1154,2827,221,138,571,1002,2066,1173,2814,1622,2147,1958,3017,60634,831,190,8,1472,16081,8355,504,1914,1749,5393,39884,15604,1945,4600,8124,195,6611,1061,1761,7353,25012,1114,3950,2048,34206,44651,1706,11313,2721,10966,35465,2983,2109,8030,772,2291,3757,3947,555,1536,1076,857,790,701,0,462,8032,463,921,2688,3007,84855,102941,27604,83765,12063,62410,91585,4580,1649,10751,36894,5111,1524,8795,3047,9761,3364,1735,9633,16785,1077,467,4795,6270,2231,1370,2935,1100,4746,44745,9077,17731,360,1367,36651,88003,52035,25760,4297,257,66619,11515,80552,55450,2325,103264,1196,13613,4185,2846,4507,13979,10058,18659,1058,1770,4,462,820,6,567,637,1226,4518,1651,662,1493,3790,3530,673,403,2269,230,482,221,1570,418,1067,1370,359,337,4934,0,904,246,3,14358,2,759,354,5336,639,224,1047,142,843,12268,1234,688,960,6,111,2164,9348,4291,44098,598,246,245,3,321,608,7254,341,966,719,4,789,0,538,7,0,6205,606,3732
"OTU1629",48,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,49,39,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,9,0,0,0,0,1064,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,1,0,0,0,0,0,0,0,227,0,0,0,119,1,0,1126,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1860",152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU41",542,2492,9879,526,893,0,880,144,1,0,2,0,0,0,0,0,0,268,0,0,122,0,279,0,1,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,262,0,0,0,0,620,0,0,270,0,1021,4541,222,0,3136,2750,0,0,0,222,1624,402,0,1,0,0,0,0,0,0,1202,0,0,0,2,0,2,0,1,0,2,0,0,1,1,219,3,0,0,0,0,0,0,2,0,0,298,0,0,216,4,0,3,0,0,0,0,0,0,2,0,0,0,0,0,352,0,0,119,0,0,638,0,303,0,144,193,0,40,844,0,0,0,0,118,0,2,0,57,2,11,0,0,0,2,0,327,0,948,2,373,0,0,0,0,352,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,484,0,0,127,0,0,0,0,1,1,110,100,0,371,0,1521,702,241,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,4
"OTU17",584,140,191,0,1,171,0,1,150,4084,8236,0,0,0,0,0,3,2,2013,4,172,0,0,265,923,0,0,2,1,72,379,0,4,0,0,47,0,0,0,0,1,1,0,0,191,0,0,0,0,872,0,3836,13881,316,392,6253,2660,1852,385,7,3,469,6,2154,238,2366,134,3348,1,102,0,1271,133,0,395,0,0,4757,0,0,0,0,2,466,0,2041,0,0,0,0,0,0,79,0,1,0,1240,209,4481,437,13820,0,0,13,268,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,141,0,0,0,2618,0,551,0,1,1,915,52,1,135,147,0,0,0,20,23,65,0,0,0,310,1,0,1,0,0,1,3,5,0,0,2,0,1,0,0,178,442,0,0,260,265,0,5980,0,0,0,138,0,0,12818,0,0,0,0,0,0,369,492,1,735,1146,3,7,14721,31939,10925,12658,133,5,0,2,7,5,3,251,384,362,0,0,1,0,0,0,0,259,0,0,0,0,0,0,1495,0,0,0,1450
"OTU1876",683,1,174,0,948,0,3288,0,0,0,2,600,0,32,1,254,0,59,44,7,0,0,0,257,185,502,161,0,12,113,1149,174,0,3845,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,2,6310,439,0,1,0,0,67,172,0,0,1,9,2,0,0,270,3,1,0,1,0,0,1,0,0,0,0,330,0,47,1,1760,0,4231,651,435,1095,211,915,448,1206,0,0,769,0,1542,0,54,16,1,0,0,0,0,0,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,9,51,0,383,0,0,0,103,498,1,0,0,0,0,0,0,0,0,0,0,0,2371,1,312,474,2343,747,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,660,0,550,376,138,0,83,73,0,1,10650,654,1,1063,2,0,959,8642,941,18703,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,343,0,0
"OTU785",202,0,0,0,0,796,907,342,0,1,44,0,0,27,0,0,0,0,0,3,0,0,0,0,2,0,0,42,0,0,0,0,0,139,0,0,0,0,1,0,0,0,0,578,0,0,0,0,207,2,0,80,68,0,0,497,697,0,0,0,286,0,0,0,0,0,9,0,1,179,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,8,0,119,0,510,412,0,0,0,0,0,0,0,0,232,0,0,90,0,3,0,0,0,0,130,0,0,35,83,0,241,1,0,0,0,0,0,0,0,64,0,0,0,47,0,102,0,0,0,1,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU418",51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536
"OTU130",659,97,224,1,753,0,59,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,366,0,0,110,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,38,0,3,0,0,1493,0,412,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
