"TaxonID","domain","phylum","class","order","family","genus"
"OTU13","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"OTU1","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Propionibacterium"
"OTU1629","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"OTU1860","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","unclassified_Caulobacteraceae"
"OTU41","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"OTU17","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"OTU1876","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Micrococcus"
"OTU785","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"OTU418","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Intrasporangiaceae","unclassified_Intrasporangiaceae"
"OTU130","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dietziaceae","Dietzia"
"OTU98","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_incertae_sedis","Sphaerotilus"
"OTU622","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia"
"OTU1653","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Atopococcus"
"OTU65","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"OTU1975","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"OTU151","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella"
"OTU235","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dermacoccaceae","Kytococcus"
"OTU52","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"OTU423","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria"
"OTU147","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"OTU1419","Bacteria","Candidatus Saccharibacteria","unclassified_Candidatus Saccharibacteria","unclassified_Candidatus Saccharibacteria","unclassified_Candidatus Saccharibacteria","Saccharibacteria_genera_incertae_sedis"
"OTU4","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"OTU280","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus"
"OTU5","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"OTU12","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia"
"OTU94","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"OTU265","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas"
"OTU158","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Microbacterium"
